Removed Pin From Net: NetName=GND Pin=C607-2
Removed Pin From Net: NetName=BAT+ Pin=F601-1
Removed Pin From Net: NetName=TS+ Pin=F602-1
Removed Pin From Net: NetName=TS+ Pin=J10-1
Removed Pin From Net: NetName=TS- Pin=J10-2
Removed Pin From Net: NetName=BAT+ Pin=J10-3
Removed Pin From Net: NetName=Precharge_Temp_Sense Pin=NTC601-1
Removed Pin From Net: NetName=Precharge_Coil_1 Pin=Q406-G
Removed Pin From Net: NetName=Precharge_Coil_1 Pin=R410-1
Removed Pin From Net: NetName=VCC Pin=R609-1
Removed Pin From Net: NetName=Precharge_Temp_Sense Pin=R609-2
Removed Pin From Net: NetName=NetR_precharge_2 Pin=X601-1
Removed Pin From Net: NetName=TS+ Pin=X601-2
Removed Pin From Net: NetName=Precharge_Coil_1 Pin=X601-3
Removed Pin From Net: NetName=Accumulator_Interlock Pin=X601-4
Removed Member From Class: ClassName=High Voltage Member=C607
Removed Member From Class: ClassName=High Voltage Member=F601
Removed Member From Class: ClassName=High Voltage Member=F602
Removed Member From Class: ClassName=High Voltage Member=NTC601
Removed Member From Class: ClassName=High Voltage Member=R_precharge
Removed Member From Class: ClassName=High Voltage Member=X601
Change Component Footprint: Designator=R609 Old Footprint=R0805FTK New Footprint=R1206FTK-W
Change Component Comment : Designator=R609 Old Comment=CR0805-JW-103ELF New Comment=HVC1206-2M0FT3
Change component parameters: Designator = "R609" ("R609"); Footprint = "R0805FTK"; UniqueID = "\TZEGYSLA\OKFFIZMU" ("\TZEGYSLA\OKFFIZMU")
Add component (AddParameter): Name = ".SCHcheck"; Value = "GP"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Category"; Value = "TestPoint"; VariantName = "[No Variations]"
Added Component: Designator=TP618(TestPoint)
Add component (AddParameter): Name = ".Creator"; Value = "GP"; VariantName = "[No Variations]"
Add component (AddParameter): Name = ".PCBcheck"; Value = "GP"; VariantName = "[No Variations]"
Add component (AddParameter): Name = ".SCHcheck"; Value = "GP"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Category"; Value = "TestPoint"; VariantName = "[No Variations]"
Added Component: Designator=TP619(TestPoint)
Add component (AddParameter): Name = ".Creator"; Value = "GP"; VariantName = "[No Variations]"
Add component (AddParameter): Name = ".PCBcheck"; Value = "GP"; VariantName = "[No Variations]"
Add component (AddParameter): Name = ".SCHcheck"; Value = "GP"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Category"; Value = "TestPoint"; VariantName = "[No Variations]"
Added Component: Designator=TP620(TestPoint)
Add component (AddParameter): Name = ".Creator"; Value = "GP"; VariantName = "[No Variations]"
Add component (AddParameter): Name = ".PCBcheck"; Value = "GP"; VariantName = "[No Variations]"
Add component (AddParameter): Name = ".SCHcheck"; Value = "GP"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Category"; Value = "TestPoint"; VariantName = "[No Variations]"
Added Component: Designator=TP621(TestPoint)
Add component (AddParameter): Name = ".Creator"; Value = "GP"; VariantName = "[No Variations]"
Add component (AddParameter): Name = ".PCBcheck"; Value = "GP"; VariantName = "[No Variations]"
Add component (AddParameter): Name = ".SCHcheck"; Value = "GP"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Category"; Value = "TestPoint"; VariantName = "[No Variations]"
Added Component: Designator=U603(Optocoupler_TCLT1000)
Add component (AddParameter): Name = "Approvals"; Value = "UL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case/Package"; Value = "SOP"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Category"; Value = "Optocouplers"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Collector Emitter Breakdown Voltage"; Value = "70V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Collector Emitter Saturation Voltage"; Value = "300mV"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Collector Emitter Voltage (VCEO)"; Value = "70V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "https://datasheet.ciiva.com/11771/0900766b80e30925-11771693.pdf?src-supplier=RSComponents"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "https://datasheet.ciiva.com/11771/0900766b80e30925-11771693.pdf?src-supplier=RSComponents"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "https://datasheet.ciiva.com/8040/52022-8040864.pdf?src-supplier=Element14"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "https://datasheet.ciiva.com/8040/52022-8040864.pdf?src-supplier=Element14"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3Description"; Value = "https://datasheet.ciiva.com/15118/getdatasheetpartid-145514-15118804.pdf?src-supplier=Verical"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3URL"; Value = "https://datasheet.ciiva.com/15118/getdatasheetpartid-145514-15118804.pdf?src-supplier=Verical"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink4Description"; Value = "https://datasheet.ciiva.com/26321/tclt1000-26321177.pdf?src-supplier=Element14"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink4URL"; Value = "https://datasheet.ciiva.com/26321/tclt1000-26321177.pdf?src-supplier=Element14"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink5Description"; Value = "https://datasheet.ciiva.com/5783/tclt1000-5783658.pdf?src-supplier=Farnell"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink5URL"; Value = "https://datasheet.ciiva.com/5783/tclt1000-5783658.pdf?src-supplier=Farnell"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink6Description"; Value = "https://datasheet.ciiva.com/8091/tclt1000-8091688.pdf?src-supplier=Avnet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink6URL"; Value = "https://datasheet.ciiva.com/8091/tclt1000-8091688.pdf?src-supplier=Avnet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink7Description"; Value = "https://datasheet.ciiva.com/16493/tclt1000-16493446.pdf?src-supplier=Future+Electronics"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink7URL"; Value = "https://datasheet.ciiva.com/16493/tclt1000-16493446.pdf?src-supplier=Future+Electronics"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Current Transfer Ratio"; Value = "600%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Fall Time"; Value = "4.7s"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Forward Current"; Value = "60mA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Forward Voltage"; Value = "1.6V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Input Current"; Value = "50mA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Isolation Voltage"; Value = "5kV"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Vishay Semiconductors"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "TCLT1000"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Collector Current"; Value = "50mA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Input Current"; Value = "60mA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "100°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Output Voltage"; Value = "70V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Power Dissipation"; Value = "250mW"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-40°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mount"; Value = "Surface Mount,PCB"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Channels"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Elements"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Pins"; Value = "4"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Output Current per Channel"; Value = "50mA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Output Voltage"; Value = "70V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Quantity"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Dissipation"; Value = "250mW"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pricing 1"; Value = "3000=0,24220, 6000=0,23440 (USD)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "REACH SVHC"; Value = "Unknown"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Reverse Breakdown Voltage"; Value = "6V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Rise Time"; Value = "3s"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS Compliant"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Stock 1"; Value = "9000"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Arrow Electronics"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "TCLT1000"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating (DC)"; Value = "70V"; VariantName = "[No Variations]"
Added Component: Designator=X_precharge(Relay_G81C)
Add component (AddParameter): Name = "Manufacturer"; Value = "Gigavac"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "G81C335"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS Compliant"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Newark"; VariantName = "[No Variations]"
Added Pin To Net: NetName=GND Pin=C701-2
Added Pin To Net: NetName=GND Pin=D301-1
Added Pin To Net: NetName=CAN1_H Pin=D301-2
Added Pin To Net: NetName=GND Pin=D302-1
Added Pin To Net: NetName=CAN1_L Pin=D302-2
Added Pin To Net: NetName=BAT+ Pin=DCDC701-3
Added Pin To Net: NetName=BAT+ Pin=F_BAT+-1
Added Pin To Net: NetName=TS+ Pin=F_TS+-1
Added Pin To Net: NetName=TS- Pin=J10-3
Added Pin To Net: NetName=Precharge_Temp_Sense Pin=NTC701-1
Added Pin To Net: NetName=TS- Pin=Q604-S
Added Pin To Net: NetName=GND Pin=Q605-S
Added Pin To Net: NetName=TS+ Pin=R602-2
Added Pin To Net: NetName=TS+ Pin=R609-2
Added Pin To Net: NetName=+5 TS Pin=R611-2
Added Pin To Net: NetName=+5 Pin=R612-2
Added Pin To Net: NetName=+5 Pin=R613-2
Added Pin To Net: NetName=VCC Pin=R701-1
Added Pin To Net: NetName=Precharge_Temp_Sense Pin=R701-2
Added Pin To Net: NetName=BAT+ Pin=TP603-1
Added Pin To Net: NetName=TS+ Pin=TP615-1
Added Pin To Net: NetName=+5 TS Pin=U601-8
Added Pin To Net: NetName=+5 TS Pin=U603-1
Added Pin To Net: NetName=GND Pin=U603-3
Added Pin To Net: NetName=TS+ Pin=X_precharge-1
Added Pin To Net: NetName=NetR_precharge_2 Pin=X_precharge-3
Added Pin To Net: NetName=Precharge_Coil_1 Pin=X_precharge-4
Added Pin To Net: NetName=Accumulator_Interlock Pin=X_precharge-5
Added Pin To Net: NetName=NetC701_1 Pin=C701-1
Added Pin To Net: NetName=NetC701_1 Pin=NTC701-2
Added Net: Name=NetC701_1
Added Pin To Net: NetName=NetF_BAT+_2 Pin=F_BAT+-2
Added Pin To Net: NetName=NetF_BAT+_2 Pin=J10-2
Added Net: Name=NetF_BAT+_2
Added Pin To Net: NetName=NetF_TS+_2 Pin=F_TS+-2
Added Pin To Net: NetName=NetF_TS+_2 Pin=J10-1
Added Net: Name=NetF_TS+_2
Added Pin To Net: NetName=NetQ604_D Pin=Q604-D
Added Pin To Net: NetName=NetQ604_D Pin=TP619-1
Added Pin To Net: NetName=NetQ604_D Pin=U603-2
Added Net: Name=NetQ604_D
Added Pin To Net: NetName=NetQ604_G Pin=Q604-G
Added Pin To Net: NetName=NetQ604_G Pin=R611-1
Added Pin To Net: NetName=NetQ604_G Pin=TP618-1
Added Pin To Net: NetName=NetQ604_G Pin=U601-14
Added Net: Name=NetQ604_G
Added Pin To Net: NetName=NetQ605_G Pin=Q605-G
Added Pin To Net: NetName=NetQ605_G Pin=R612-1
Added Pin To Net: NetName=NetQ605_G Pin=TP620-1
Added Pin To Net: NetName=NetQ605_G Pin=U603-4
Added Net: Name=NetQ605_G
Added Pin To Net: NetName=NetR609_1 Pin=R609-1
Added Pin To Net: NetName=NetR609_1 Pin=R610-2
Added Pin To Net: NetName=NetR609_1 Pin=TP617-1
Added Pin To Net: NetName=NetR609_1 Pin=U601-9
Added Net: Name=NetR609_1
Added Pin To Net: NetName=Precharge_detection Pin=Q406-G
Added Pin To Net: NetName=Precharge_detection Pin=Q605-D
Added Pin To Net: NetName=Precharge_detection Pin=R410-1
Added Pin To Net: NetName=Precharge_detection Pin=R613-1
Added Pin To Net: NetName=Precharge_detection Pin=TP621-1
Added Net: Name=Precharge_detection
Added Pin To Net: NetName=Precharge_NC Pin=R610-1
Added Pin To Net: NetName=Precharge_NC Pin=TP616-1
Added Pin To Net: NetName=Precharge_NC Pin=X_precharge-2
Added Net: Name=Precharge_NC
Added Class: Name=Designator
Added Member To Class: ClassName=CAN Member=Component D301 824501600
Added Member To Class: ClassName=CAN Member=Component D302 824501600
Added Member To Class: ClassName=AMS_Master Member=Component F_BAT+ 485001
Added Member To Class: ClassName=AMS_Master Member=Component F_TS+ 485001
Added Member To Class: ClassName=High Voltage Member=Component Q604 CPH3455-TL-H
Added Member To Class: ClassName=High Voltage Member=Component Q605 CPH3455-TL-H
Added Member To Class: ClassName=High Voltage Member=Component R610 CRCW120610K0FKEA
Added Member To Class: ClassName=High Voltage Member=Component R611 CR0805-JW-103ELF
Added Member To Class: ClassName=High Voltage Member=Component R612 CR0805-JW-103ELF
Added Member To Class: ClassName=High Voltage Member=Component R613 CR0805-JW-102ELF
Added Member To Class: ClassName=High Voltage Member=Component TP615 TestPoint
Added Member To Class: ClassName=High Voltage Member=Component TP616 TestPoint
Added Member To Class: ClassName=High Voltage Member=Component TP617 TestPoint
Added Member To Class: ClassName=High Voltage Member=Component TP618 TestPoint
Added Member To Class: ClassName=High Voltage Member=Component TP619 TestPoint
Added Member To Class: ClassName=High Voltage Member=Component TP620 TestPoint
Added Member To Class: ClassName=High Voltage Member=Component TP621 TestPoint
Added Member To Class: ClassName=High Voltage Member=Component U603 Optocoupler_TCLT1000
Added Room: Name=Designator
