Removed Pin From Net: NetName=SDO Pin=U201-15
Removed Pin From Net: NetName=SDI Pin=U201-16
Removed Pin From Net: NetName=ROT3 Pin=U201-17
Removed Pin From Net: NetName=ROT2 Pin=U201-18
Removed Pin From Net: NetName=GND_Slave Pin=U201-19
Removed Pin From Net: NetName=NetC203_2 Pin=U201-20
Removed Pin From Net: NetName=UART_RX Pin=U201-21
Removed Pin From Net: NetName=UART_TX Pin=U201-22
Removed Pin From Net: NetName=LED2 Pin=U201-23
Removed Pin From Net: NetName=LED1 Pin=U201-24
Removed Pin From Net: NetName=AMS_CAN_RXD Pin=U201-25
Removed Pin From Net: NetName=AMS_CAN_TXD Pin=U201-26
Removed Pin From Net: NetName=GND_Slave Pin=U201-27
Removed Pin From Net: NetName=VCC Pin=U201-28
Change component parameters: Designator = "C101" ("C101"); Footprint = "C10u-50V-1210FNPMLCC-X7R"; UniqueID = "\VPYGAXJJ\GTGGCFYV" ("\VPYGAXJJ\GTGGCFYV")
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Arrow Electronics"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "CR0805-FX-4700GLF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Technology"; Value = "THICK FILM"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Coefficient"; Value = "100ppm/°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Termination"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Thickness"; Value = "508um"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating"; Value = "150V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating (DC)"; Value = "150V"; VariantName = "[No Variations]"
Change component parameters: Designator = "SW201" ("SW201"); Footprint = "16RotarySw"; UniqueID = "\AJKHQXUF\HVKTZQML" ("\AJKHQXUF\HVKTZQML")
Change component parameters (AddParameter): Name = ".Creator"; Value = "DR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = ".PCBcheck"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = ".SCHcheck"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Body Material"; Value = "Polymer,Liquid Crystal Polymer"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "DIP Switches"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "http://katalog.we-online.de/em/datasheet/428542320816.pdf?src-supplier=Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "http://katalog.we-online.de/em/datasheet/428542320816.pdf?src-supplier=Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "https://katalog.we-online.de/em/datasheet/428542320816.pdf?src-supplier=Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "https://katalog.we-online.de/em/datasheet/428542320816.pdf?src-supplier=Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Plating"; Value = "Gold"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current Rating"; Value = "100mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "0.291inch"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer 1"; Value = "Wurth Electronics"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number 1"; Value = "428542320816"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "125°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-60°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Positions"; Value = "16"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pitch"; Value = "0.1inch"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pricing 1"; Value = "1=4,78000, 10=4,66000, 50=4,56000, 100=4,24000, 1000=3,92000, 10000=3,79000 (USD)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS Compliant"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Stock 1"; Value = "5136"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Mouser"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "710-428542320816"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Termination"; Value = "Gull Wing"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating (DC)"; Value = "42V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Washable"; Value = "No"; VariantName = "[No Variations]"
Change component parameters: Designator = "TP101" ("TP101"); Footprint = "TestPoint"; UniqueID = "\VPYGAXJJ\BYIXTERJ" ("\VPYGAXJJ\BYIXTERJ")
Change component parameters (AddParameter): Name = ".Creator"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = ".PCBcheck"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = ".SCHcheck"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "TestPoint"; VariantName = "[No Variations]"
Change component parameters: Designator = "TP102" ("TP102"); Footprint = "TestPoint"; UniqueID = "\VPYGAXJJ\GLDDXQJN" ("\VPYGAXJJ\GLDDXQJN")
Change component parameters (AddParameter): Name = ".Creator"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = ".PCBcheck"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = ".SCHcheck"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "TestPoint"; VariantName = "[No Variations]"
Change component parameters: Designator = "TP103" ("TP103"); Footprint = "TestPoint"; UniqueID = "\VPYGAXJJ\DHJCOZQK" ("\VPYGAXJJ\DHJCOZQK")
Change component parameters (AddParameter): Name = ".Creator"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = ".PCBcheck"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = ".SCHcheck"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "TestPoint"; VariantName = "[No Variations]"
Change component parameters: Designator = "TP104" ("TP104"); Footprint = "TestPoint"; UniqueID = "\VPYGAXJJ\AIPJWNBA" ("\VPYGAXJJ\AIPJWNBA")
Change component parameters (AddParameter): Name = ".Creator"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = ".PCBcheck"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = ".SCHcheck"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "TestPoint"; VariantName = "[No Variations]"
Change component parameters: Designator = "TP105" ("TP105"); Footprint = "TestPoint"; UniqueID = "\VPYGAXJJ\MWQNFWEP" ("\VPYGAXJJ\MWQNFWEP")
Change component parameters (AddParameter): Name = ".Creator"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = ".PCBcheck"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = ".SCHcheck"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "TestPoint"; VariantName = "[No Variations]"
Change component parameters: Designator = "TP106" ("TP106"); Footprint = "TestPoint"; UniqueID = "\VPYGAXJJ\YWAJTCRW" ("\VPYGAXJJ\YWAJTCRW")
Change component parameters (AddParameter): Name = ".Creator"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = ".PCBcheck"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = ".SCHcheck"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "TestPoint"; VariantName = "[No Variations]"
Change component parameters: Designator = "TP201" ("TP201"); Footprint = "TestPoint"; UniqueID = "\AJKHQXUF\JWGLLFSH" ("\AJKHQXUF\JWGLLFSH")
Change component parameters (AddParameter): Name = ".Creator"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = ".PCBcheck"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = ".SCHcheck"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "TestPoint"; VariantName = "[No Variations]"
Change component parameters: Designator = "TP202" ("TP202"); Footprint = "TestPoint"; UniqueID = "\AJKHQXUF\LFVEHJWN" ("\AJKHQXUF\LFVEHJWN")
Change component parameters (AddParameter): Name = ".Creator"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = ".PCBcheck"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = ".SCHcheck"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "TestPoint"; VariantName = "[No Variations]"
Change component parameters: Designator = "TP203" ("TP203"); Footprint = "TestPoint"; UniqueID = "\AJKHQXUF\JBZMNUGS" ("\AJKHQXUF\JBZMNUGS")
Change component parameters (AddParameter): Name = ".Creator"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = ".PCBcheck"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = ".SCHcheck"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "TestPoint"; VariantName = "[No Variations]"
Change component parameters: Designator = "TP204" ("TP204"); Footprint = "TestPoint"; UniqueID = "\AJKHQXUF\ZTCCXABB" ("\AJKHQXUF\ZTCCXABB")
Change component parameters (AddParameter): Name = ".Creator"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = ".PCBcheck"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = ".SCHcheck"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "TestPoint"; VariantName = "[No Variations]"
Change component parameters: Designator = "TP205" ("TP205"); Footprint = "TestPoint"; UniqueID = "\AJKHQXUF\KJKBDIBU" ("\AJKHQXUF\KJKBDIBU")
Change component parameters (AddParameter): Name = ".Creator"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = ".PCBcheck"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = ".SCHcheck"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "TestPoint"; VariantName = "[No Variations]"
Change component parameters: Designator = "TP206" ("TP206"); Footprint = "TestPoint"; UniqueID = "\AJKHQXUF\EDGCVFJH" ("\AJKHQXUF\EDGCVFJH")
Change component parameters (AddParameter): Name = ".Creator"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = ".PCBcheck"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = ".SCHcheck"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "TestPoint"; VariantName = "[No Variations]"
Change component parameters: Designator = "TP207" ("TP207"); Footprint = "TestPoint"; UniqueID = "\AJKHQXUF\NLMXJHZS" ("\AJKHQXUF\NLMXJHZS")
Change component parameters (AddParameter): Name = ".Creator"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = ".PCBcheck"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = ".SCHcheck"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "TestPoint"; VariantName = "[No Variations]"
Change component parameters: Designator = "TP208" ("TP208"); Footprint = "TestPoint"; UniqueID = "\AJKHQXUF\NSASGKDJ" ("\AJKHQXUF\NSASGKDJ")
Change component parameters (AddParameter): Name = ".Creator"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = ".PCBcheck"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = ".SCHcheck"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "TestPoint"; VariantName = "[No Variations]"
Change component parameters: Designator = "TP209" ("TP209"); Footprint = "TestPoint"; UniqueID = "\AJKHQXUF\EXNBCSQJ" ("\AJKHQXUF\EXNBCSQJ")
Change component parameters (AddParameter): Name = ".Creator"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = ".PCBcheck"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = ".SCHcheck"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "TestPoint"; VariantName = "[No Variations]"
Change component parameters: Designator = "TP210" ("TP210"); Footprint = "TestPoint"; UniqueID = "\AJKHQXUF\HFECTQZW" ("\AJKHQXUF\HFECTQZW")
Change component parameters (AddParameter): Name = ".Creator"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = ".PCBcheck"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = ".SCHcheck"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "TestPoint"; VariantName = "[No Variations]"
Change component parameters: Designator = "TP211" ("TP211"); Footprint = "TestPoint"; UniqueID = "\AJKHQXUF\ZNKGAPCS" ("\AJKHQXUF\ZNKGAPCS")
Change component parameters (AddParameter): Name = ".Creator"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = ".PCBcheck"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = ".SCHcheck"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "TestPoint"; VariantName = "[No Variations]"
Change component parameters: Designator = "TP212" ("TP212"); Footprint = "TestPoint"; UniqueID = "\AJKHQXUF\WWDWFTFG" ("\AJKHQXUF\WWDWFTFG")
Change component parameters (AddParameter): Name = ".Creator"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = ".PCBcheck"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = ".SCHcheck"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "TestPoint"; VariantName = "[No Variations]"
Change component parameters: Designator = "TP213" ("TP213"); Footprint = "TestPoint"; UniqueID = "\AJKHQXUF\DXAPXAWO" ("\AJKHQXUF\DXAPXAWO")
Change component parameters (AddParameter): Name = ".Creator"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = ".PCBcheck"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = ".SCHcheck"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "TestPoint"; VariantName = "[No Variations]"
Change component parameters: Designator = "TP214" ("TP214"); Footprint = "TestPoint"; UniqueID = "\AJKHQXUF\XWACURXZ" ("\AJKHQXUF\XWACURXZ")
Change component parameters (AddParameter): Name = ".Creator"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = ".PCBcheck"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = ".SCHcheck"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "TestPoint"; VariantName = "[No Variations]"
Change component parameters: Designator = "TP215" ("TP215"); Footprint = "TestPoint"; UniqueID = "\AJKHQXUF\XSWQAKPV" ("\AJKHQXUF\XSWQAKPV")
Change component parameters (AddParameter): Name = ".Creator"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = ".PCBcheck"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = ".SCHcheck"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "TestPoint"; VariantName = "[No Variations]"
Change component parameters: Designator = "TP216" ("TP216"); Footprint = "TestPoint"; UniqueID = "\AJKHQXUF\METWGEOM" ("\AJKHQXUF\METWGEOM")
Change component parameters (AddParameter): Name = ".Creator"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = ".PCBcheck"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = ".SCHcheck"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "TestPoint"; VariantName = "[No Variations]"
Change component parameters: Designator = "TP217" ("TP217"); Footprint = "TestPoint"; UniqueID = "\AJKHQXUF\ZYDECYCS" ("\AJKHQXUF\ZYDECYCS")
Change component parameters (AddParameter): Name = ".Creator"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = ".PCBcheck"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = ".SCHcheck"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "TestPoint"; VariantName = "[No Variations]"
Change component parameters: Designator = "TP218" ("TP218"); Footprint = "TestPoint"; UniqueID = "\AJKHQXUF\YITUQUUQ" ("\AJKHQXUF\YITUQUUQ")
Change component parameters (AddParameter): Name = ".Creator"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = ".PCBcheck"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = ".SCHcheck"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "TestPoint"; VariantName = "[No Variations]"
Change component parameters: Designator = "TP219" ("TP219"); Footprint = "TestPoint"; UniqueID = "\AJKHQXUF\ANKSALLG" ("\AJKHQXUF\ANKSALLG")
Change component parameters (AddParameter): Name = ".Creator"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = ".PCBcheck"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = ".SCHcheck"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "TestPoint"; VariantName = "[No Variations]"
Change component parameters: Designator = "TP220" ("TP220"); Footprint = "TestPoint"; UniqueID = "\AJKHQXUF\MYJAFQLT" ("\AJKHQXUF\MYJAFQLT")
Change component parameters (AddParameter): Name = ".Creator"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = ".PCBcheck"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = ".SCHcheck"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "TestPoint"; VariantName = "[No Variations]"
Change component parameters: Designator = "TP221" ("TP221"); Footprint = "TestPoint"; UniqueID = "\AJKHQXUF\DUNBEVNY" ("\AJKHQXUF\DUNBEVNY")
Change component parameters (AddParameter): Name = ".Creator"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = ".PCBcheck"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = ".SCHcheck"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "TestPoint"; VariantName = "[No Variations]"
Change component parameters: Designator = "TP222" ("TP222"); Footprint = "TestPoint"; UniqueID = "\AJKHQXUF\HIDGTBIE" ("\AJKHQXUF\HIDGTBIE")
Change component parameters (AddParameter): Name = ".Creator"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = ".PCBcheck"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = ".SCHcheck"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "TestPoint"; VariantName = "[No Variations]"
Change component parameters: Designator = "TP223" ("TP223"); Footprint = "TestPoint"; UniqueID = "\AJKHQXUF\OYULUKAN" ("\AJKHQXUF\OYULUKAN")
Change component parameters (AddParameter): Name = ".Creator"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = ".PCBcheck"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = ".SCHcheck"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "TestPoint"; VariantName = "[No Variations]"
Change component parameters: Designator = "TP224" ("TP224"); Footprint = "TestPoint"; UniqueID = "\AJKHQXUF\BDTLIXRC" ("\AJKHQXUF\BDTLIXRC")
Change component parameters (AddParameter): Name = ".Creator"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = ".PCBcheck"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = ".SCHcheck"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "TestPoint"; VariantName = "[No Variations]"
Change component parameters: Designator = "TP225" ("TP225"); Footprint = "TestPoint"; UniqueID = "\AJKHQXUF\VVLTNPTF" ("\AJKHQXUF\VVLTNPTF")
Change component parameters (AddParameter): Name = ".Creator"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = ".PCBcheck"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = ".SCHcheck"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "TestPoint"; VariantName = "[No Variations]"
Change component parameters: Designator = "TP226" ("TP226"); Footprint = "TestPoint"; UniqueID = "\AJKHQXUF\MUEGGHCQ" ("\AJKHQXUF\MUEGGHCQ")
Change component parameters (AddParameter): Name = ".Creator"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = ".PCBcheck"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = ".SCHcheck"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "TestPoint"; VariantName = "[No Variations]"
Change component parameters: Designator = "TP227" ("TP227"); Footprint = "TestPoint"; UniqueID = "\AJKHQXUF\XCBCPGMR" ("\AJKHQXUF\XCBCPGMR")
Change component parameters (AddParameter): Name = ".Creator"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = ".PCBcheck"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = ".SCHcheck"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "TestPoint"; VariantName = "[No Variations]"
Change component parameters: Designator = "TP228" ("TP228"); Footprint = "TestPoint"; UniqueID = "\AJKHQXUF\GULQRCTF" ("\AJKHQXUF\GULQRCTF")
Change component parameters (AddParameter): Name = ".Creator"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = ".PCBcheck"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = ".SCHcheck"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "TestPoint"; VariantName = "[No Variations]"
Change component parameters: Designator = "TP229" ("TP229"); Footprint = "TestPoint"; UniqueID = "\AJKHQXUF\PXWXNLOK" ("\AJKHQXUF\PXWXNLOK")
Change component parameters (AddParameter): Name = ".Creator"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = ".PCBcheck"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = ".SCHcheck"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "TestPoint"; VariantName = "[No Variations]"
Change component parameters: Designator = "TP230" ("TP230"); Footprint = "TestPoint"; UniqueID = "\AJKHQXUF\IQIUTJNO" ("\AJKHQXUF\IQIUTJNO")
Change component parameters (AddParameter): Name = ".Creator"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = ".PCBcheck"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = ".SCHcheck"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "TestPoint"; VariantName = "[No Variations]"
Change component parameters: Designator = "TP231" ("TP231"); Footprint = "TestPoint"; UniqueID = "\AJKHQXUF\BJWNRDGA" ("\AJKHQXUF\BJWNRDGA")
Change component parameters (AddParameter): Name = ".Creator"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = ".PCBcheck"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = ".SCHcheck"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "TestPoint"; VariantName = "[No Variations]"
Change component parameters: Designator = "TP301" ("TP301"); Footprint = "TestPoint"; UniqueID = "\SNQEAXIV\DJXBIJGC" ("\SNQEAXIV\DJXBIJGC")
Change component parameters (AddParameter): Name = ".Creator"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = ".PCBcheck"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = ".SCHcheck"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "TestPoint"; VariantName = "[No Variations]"
Change component parameters: Designator = "TP302" ("TP302"); Footprint = "TestPoint"; UniqueID = "\SNQEAXIV\WCHVQADL" ("\SNQEAXIV\WCHVQADL")
Change component parameters (AddParameter): Name = ".Creator"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = ".PCBcheck"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = ".SCHcheck"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "TestPoint"; VariantName = "[No Variations]"
Change component parameters: Designator = "TP303" ("TP303"); Footprint = "TestPoint"; UniqueID = "\SNQEAXIV\NNQFUKCJ" ("\SNQEAXIV\NNQFUKCJ")
Change component parameters (AddParameter): Name = ".Creator"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = ".PCBcheck"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = ".SCHcheck"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "TestPoint"; VariantName = "[No Variations]"
Change component parameters: Designator = "TP304" ("TP304"); Footprint = "TestPoint"; UniqueID = "\SNQEAXIV\LXKYOMOY" ("\SNQEAXIV\LXKYOMOY")
Change component parameters (AddParameter): Name = ".Creator"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = ".PCBcheck"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = ".SCHcheck"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "TestPoint"; VariantName = "[No Variations]"
Change component parameters: Designator = "TP305" ("TP305"); Footprint = "TestPoint"; UniqueID = "\SNQEAXIV\MJLAEINN" ("\SNQEAXIV\MJLAEINN")
Change component parameters (AddParameter): Name = ".Creator"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = ".PCBcheck"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = ".SCHcheck"; Value = "GP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "TestPoint"; VariantName = "[No Variations]"
